opt_level	iter	fob_c	fob_s	fap_c	fap_s	x_c	x_s	delta	pho	nfev-hf
0	1	-1.79225	-1.81856	-1.81323	-1.86461	[1. 1. 1. 1. 1. 1.]	[1.   0.91 1.   0.91 1.   0.91]	0.20000	0.51202	15
0	2	-1.81856	-1.83996	-1.82142	-1.84258	[1.   0.91 1.   0.91 1.   0.91]	[0.91361 0.82    1.      0.82    0.9     0.82   ]	0.20000	1.01138	30
0	3	-1.83996	-1.87834	-1.83909	-1.90027	[0.91361 0.82    1.      0.82    0.9     0.82   ]	[0.76361 0.955   0.85    0.685   1.      0.685  ]	0.30000	0.62717	45
0	4	-1.87834	-1.89437	-1.80741	-1.99950	[0.76361 0.955   0.85    0.685   1.      0.685  ]	[0.91361 0.82    0.95495 0.55    0.85    0.55   ]	0.30000	0.08349	60
0	5	-1.89437	-1.90720	-1.89451	-1.90809	[0.91361 0.82    0.95495 0.55    0.85    0.55   ]	[0.83861 0.8875  1.      0.4825  0.775   0.4825 ]	0.15000	0.94515	75
0	6	-1.90720	-1.91044	-1.88134	-2.06998	[0.83861 0.8875  1.      0.4825  0.775   0.4825 ]	[0.95111 0.78625 0.8875  0.58375 0.6625  0.38125]	0.22500	0.01716	90
0	7	-1.91044	-1.91818	-1.90852	-1.92063	[0.95111 0.78625 0.8875  0.58375 0.6625  0.38125]	[1.      0.83688 0.83125 0.53313 0.60625 0.33063]	0.11250	0.63874	105
0	8	-1.91818	-1.92953	-1.92034	-1.93038	[1.      0.83688 0.83125 0.53313 0.60625 0.33063]	[1.     0.8875 0.8875 0.4825 0.55   0.28  ]	0.11250	1.13109	120
0	9	-1.92953	-1.94774	-1.92639	-1.95298	[1.     0.8875 0.8875 0.4825 0.55   0.28  ]	[0.91563 0.96344 0.80313 0.40656 0.46563 0.20406]	0.16875	0.68449	135
0	10	-1.94774	-1.95018	-1.94776	-1.95181	[0.91563 0.96344 0.80313 0.40656 0.46563 0.20406]	[0.91682 0.95809 0.86745 0.39178 0.50642 0.1953 ]	0.16875	0.60334	150
0	11	-1.95018	-1.95467	-1.94534	-1.99781	[0.91682 0.95809 0.86745 0.39178 0.50642 0.1953 ]	[1.      1.      0.95183 0.46772 0.42204 0.11937]	0.16875	0.08553	165
0	12	-1.95467	-1.95901	-1.95477	-1.96171	[1.      1.      0.95183 0.46772 0.42204 0.11937]	[0.95781 1.      0.99401 0.42975 0.46423 0.1    ]	0.08438	0.62497	180
0	13	-1.95901	-1.96362	-1.95947	-1.96674	[0.95781 1.      0.99401 0.42975 0.46423 0.1    ]	[1.      0.96203 0.98332 0.39178 0.42404 0.1    ]	0.08438	0.63496	195
0	14	-1.96362	-1.96693	-1.97012	-2.00117	[1.      0.96203 0.98332 0.39178 0.42404 0.1    ]	[1.      1.      1.      0.35381 0.38186 0.1    ]	0.08438	0.10647	210
0	15	-1.96693	-1.96863	-1.96722	-1.96980	[1.      1.      1.      0.35381 0.38186 0.1    ]	[0.98836 1.      0.97891 0.33483 0.37628 0.1    ]	0.04219	0.66019	225
