opt_level	iter	fob_c	fob_s	fap_c	fap_s	x_c	x_s	delta	pho	nfev-hf	time-spend
0	1	-1.71468	-1.72583	-1.70991	-1.72544	[1. 1. 1. 1. 1. 1.]	[0.97084 1.      1.      0.91    0.93687 0.91   ]	0.20000	0.71801	15	162.84081
0	2	-1.72583	-1.73498	-1.72205	-1.75484	[0.97084 1.      1.      0.91    0.93687 0.91   ]	[1.   0.91 0.9  0.82 1.   0.82]	0.20000	0.27893	30	308.39624
0	3	-1.73498	-1.75112	-1.73557	-1.75160	[1.   0.91 0.9  0.82 1.   0.82]	[0.97888 1.      0.87627 0.73    0.99647 0.73   ]	0.20000	1.00715	45	451.46059
0	4	-1.75112	-1.77032	-1.75369	-1.76717	[0.97888 1.      0.87627 0.73    0.99647 0.73   ]	[0.99575 1.      0.93321 0.595   1.      0.595  ]	0.30000	1.42431	60	616.20383
0	5	-1.77032	-1.78978	-1.77192	-1.79027	[0.99575 1.      0.93321 0.595   1.      0.595  ]	[1.   1.   1.   0.46 0.85 0.46]	0.30000	1.06047	75	772.47954
0	6	-1.78978	-1.81661	-1.78942	-1.81859	[1.   1.   1.   0.46 0.85 0.46]	[1.     1.     0.775  0.2575 1.     0.2575]	0.45000	0.91981	90	924.83522
0	7	-1.81661	-1.82892	-1.80641	-1.81827	[1.     1.     0.775  0.2575 1.     0.2575]	[1.      1.      1.      0.12482 0.86936 0.1    ]	0.67500	1.03789	105	1093.10096
0	8	-1.82892	-1.80401	-1.81994	-1.82829	[1.      1.      1.      0.12482 0.86936 0.1    ]	[1.      1.      0.5     0.56061 0.69846 0.1    ]	1	-2.98501	120	1267.80322
0	9	-1.82892	-1.82910	-1.82837	-1.83211	[1.      1.      1.      0.12482 0.86936 0.1    ]	[1.      1.      1.      0.1     0.61936 0.1    ]	0.50000	0.04703	135	1401.91646
0	10	-1.82910	-1.82910	-1.83017	-1.83066	[1.      1.      1.      0.1     0.61936 0.1    ]	[1.      1.      0.99065 0.1     0.5453  0.1    ]	0.25000	0.00000	150	1533.01196
0	11	-1.82910	-1.82910	-1.82966	-1.82966	[1.      1.      1.      0.1     0.61936 0.1    ]	[1.      1.      1.      0.1     0.61936 0.1    ]	0.12500	0	165	1680.04351
0	12	-1.82910	-1.82906	-1.82894	-1.82912	[1.      1.      1.      0.1     0.61936 0.1    ]	[0.97877 1.      1.      0.10218 0.63243 0.1    ]	0.06250	-0.18957	180	1823.77461
0	13	-1.82910	-1.82910	-1.82906	-1.82954	[1.      1.      1.      0.1     0.61936 0.1    ]	[0.98438 1.      0.98438 0.1     0.61934 0.1    ]	0.03125	0.00000	195	1958.48918
0	14	-1.82910	-1.82904	-1.82928	-1.82975	[1.      1.      1.      0.1     0.61936 0.1    ]	[1.      1.      1.      0.10703 0.62717 0.1    ]	0.01562	-0.12335	210	2096.28171
