opt_level	iter	fob_c	fob_s	fap_c	fap_s	x_c	x_s	delta	pho	nfev-hf
0	1	-1.79225	-1.81856	-1.76035	-1.86704	[1. 1. 1. 1. 1. 1.]	[0.97224 0.91    1.      0.91    0.97067 0.91   ]	0.20000	0.24658	15
0	2	-1.81856	-1.82855	-1.81777	-1.82946	[0.97224 0.91    1.      0.91    0.97067 0.91   ]	[0.92224 0.865   1.      0.865   1.      0.865  ]	0.10000	0.85538	30
0	3	-1.82855	-1.84488	-1.82843	-1.84692	[0.92224 0.865   1.      0.865   1.      0.865  ]	[0.99724 0.7975  1.      0.7975  0.925   0.7975 ]	0.15000	0.88325	45
0	4	-1.84488	-1.86649	-1.84278	-1.87172	[0.99724 0.7975  1.      0.7975  0.925   0.7975 ]	[0.88474 0.69625 0.8875  0.69625 1.      0.69625]	0.22500	0.74684	60
0	5	-1.86649	-1.88551	-1.86679	-1.88644	[0.88474 0.69625 0.8875  0.69625 1.      0.69625]	[0.99724 0.7975  0.775   0.595   1.      0.595  ]	0.22500	0.96786	75
0	6	-1.88551	-1.91509	-1.88377	-1.92257	[0.99724 0.7975  0.775   0.595   1.      0.595  ]	[1.      0.91623 0.94375 0.44313 0.83125 0.44313]	0.33750	0.76233	90
0	7	-1.91509	-1.89052	-1.91936	-1.99445	[1.      0.91623 0.94375 0.44313 0.83125 0.44313]	[0.74687 1.      1.      0.67094 1.      0.67094]	0.50625	-0.32713	105
0	8	-1.91509	-1.93842	-1.91618	-1.94532	[1.      0.91623 0.94375 0.44313 0.83125 0.44313]	[0.95694 1.      0.81719 0.32922 0.82168 0.32922]	0.25313	0.80088	120
0	9	-1.93842	-1.97516	-1.93059	-2.03511	[0.95694 1.      0.81719 0.32922 0.82168 0.32922]	[1.      1.      0.62734 0.15836 0.63184 0.15836]	0.37969	0.35149	135
0	10	-1.97516	-1.96571	-1.91199	-2.31074	[1.      1.      0.62734 0.15836 0.63184 0.15836]	[0.81016 0.82914 0.81719 0.1     0.44199 0.1    ]	0.37969	-0.02370	150
0	11	-1.97516	-1.96525	-2.00479	-2.12559	[1.      1.      0.62734 0.15836 0.63184 0.15836]	[1.      0.91457 0.57562 0.1     0.61613 0.24379]	0.18984	-0.08206	165
0	12	-1.97516	-1.98458	-1.97650	-1.98584	[1.      1.      0.62734 0.15836 0.63184 0.15836]	[1.      1.      0.64839 0.11564 0.6537  0.11564]	0.09492	1.00865	180
0	13	-1.98458	-1.98244	-1.93907	-2.08693	[1.      1.      0.64839 0.11564 0.6537  0.11564]	[1.      0.93593 0.5772  0.1     0.58251 0.1    ]	0.14238	-0.01449	195
0	14	-1.98458	-1.89732	-1.98621	-1.99102	[1.      1.      0.64839 0.11564 0.6537  0.11564]	[0.9644 1.     0.6128 0.1    0.6181 0.1   ]	0.07119	-18.12152	210
0	15	-1.98458	-1.98777	-1.98486	-1.98959	[1.      1.      0.64839 0.11564 0.6537  0.11564]	[1.      0.98398 0.66619 0.1     0.6715  0.1    ]	0.03560	0.67299	225
0	16	-1.98777	-1.98804	-1.98707	-1.98985	[1.      0.98398 0.66619 0.1     0.6715  0.1    ]	[1.      1.      0.68399 0.1     0.6537  0.1    ]	0.03560	0.09528	240
0	17	-1.98804	-1.98804	-1.98903	-1.98924	[1.      1.      0.68399 0.1     0.6537  0.1    ]	[1.      1.      0.67509 0.1     0.64754 0.1    ]	0.01780	0.00000	255
0	18	-1.98804	-1.98793	-1.98876	-1.98954	[1.      1.      0.68399 0.1     0.6537  0.1    ]	[0.99555 1.      0.68461 0.1013  0.65458 0.1    ]	0.00890	-0.14031	270
0	19	-1.98804	-1.98874	-1.98901	-1.98973	[1.      1.      0.68399 0.1     0.6537  0.1    ]	[1.      0.99973 0.68621 0.1     0.65147 0.1    ]	0.00445	0.96934	285
0	20	-1.98874	-1.98775	-1.98830	-1.99067	[1.      0.99973 0.68621 0.1     0.65147 0.1    ]	[0.99666 1.      0.68288 0.103   0.65481 0.1    ]	0.00667	-0.41652	300
1	1	-1.86003	-1.86016	-1.87537	-1.93826	[1.      0.99973 0.68621 0.1     0.65147 0.1    ]	[1.      1.      0.58621 0.1     0.75147 0.1    ]	0.20000	0.00212	15
1	2	-1.86016	-1.85628	-1.86050	-1.90168	[1.      1.      0.58621 0.1     0.75147 0.1    ]	[0.95728 1.      0.63621 0.1     0.72672 0.13035]	0.10000	-0.09433	30
1	3	-1.86016	-1.86035	-1.85949	-1.86041	[1.      1.      0.58621 0.1     0.75147 0.1    ]	[1.      1.      0.61121 0.1     0.77647 0.1    ]	0.05000	0.20735	45
1	4	-1.86035	-1.85992	-1.86099	-1.86309	[1.      1.      0.61121 0.1     0.77647 0.1    ]	[0.9875  1.      0.61365 0.11125 0.78897 0.1    ]	0.02500	-0.20671	60
1	5	-1.86035	-1.86018	-1.86084	-1.86105	[1.      1.      0.61121 0.1     0.77647 0.1    ]	[1.      1.      0.61746 0.1     0.77605 0.1    ]	0.01250	-0.81637	75
1	6	-1.86035	-1.86011	-1.86065	-1.86081	[1.      1.      0.61121 0.1     0.77647 0.1    ]	[1.      1.      0.61183 0.10281 0.77769 0.1    ]	0.00625	-1.46720	90
1	7	-1.86035	-1.85986	-1.85926	-1.86304	[1.      1.      0.61121 0.1     0.77647 0.1    ]	[1.      0.99859 0.60965 0.1     0.77491 0.10141]	0.00313	-0.12996	105
1	8	-1.86035	-1.86026	-1.85996	-1.86080	[1.      1.      0.61121 0.1     0.77647 0.1    ]	[0.99983 1.      0.61091 0.1007  0.77726 0.1007 ]	0.00156	-0.11271	120
2	1	-1.78271	-1.78572	-1.77986	-1.80176	[1.      1.      0.61121 0.1     0.77647 0.1    ]	[0.9     1.      0.67512 0.1     0.82579 0.19   ]	0.20000	0.13714	15
2	2	-1.78572	-1.78665	-1.78577	-1.79787	[0.9     1.      0.67512 0.1     0.82579 0.19   ]	[0.95    0.955   0.72512 0.145   0.77579 0.17048]	0.10000	0.07692	30
2	3	-1.78665	-1.78991	-1.78676	-1.79439	[0.95    0.955   0.72512 0.145   0.77579 0.17048]	[0.925   0.9775  0.70012 0.1225  0.75079 0.19298]	0.05000	0.42808	45
2	4	-1.78991	-1.79403	-1.78996	-1.79719	[0.925   0.9775  0.70012 0.1225  0.75079 0.19298]	[0.95    1.      0.67512 0.1     0.77579 0.17823]	0.05000	0.57053	60
2	5	-1.79403	-1.78998	-1.78743	-1.80013	[0.95    1.      0.67512 0.1     0.77579 0.17823]	[0.925   1.      0.70012 0.1225  0.75079 0.20073]	0.05000	-0.31930	75
