opt_level	iter	fob_c	fob_s	fap_c	fap_s	x_c	x_s	delta	pho	nfev-hf	time-spend
0	1	-1.79569	-1.79284	-1.90196	-2.02463	[1. 1. 1. 1. 1. 1.]	[1.   0.91 1.   1.   0.9  1.  ]	0.20000	-0.02323	15	19.11415
0	2	-1.79569	-1.80657	-1.79116	-1.80912	[1. 1. 1. 1. 1. 1.]	[0.97445 0.98972 0.97249 0.955   1.      0.955  ]	0.10000	0.60573	30	36.66150
0	3	-1.80657	-1.81588	-1.78308	-1.94360	[0.97445 0.98972 0.97249 0.955   1.      0.955  ]	[1.      1.      0.92249 0.91    0.95    0.91   ]	0.10000	0.05803	45	58.66404
0	4	-1.81588	-1.82308	-1.81748	-1.82398	[1.      1.      0.92249 0.91    0.95    0.91   ]	[1.      0.9775  0.94749 0.8875  0.96167 0.8875 ]	0.05000	1.10695	60	77.96161
0	5	-1.82308	-1.83197	-1.82286	-1.83343	[1.      0.9775  0.94749 0.8875  0.96167 0.8875 ]	[0.97831 0.94375 0.95895 0.85375 0.98929 0.85375]	0.07500	0.84045	75	96.31736
0	6	-1.83197	-1.84641	-1.83263	-1.84848	[0.97831 0.94375 0.95895 0.85375 0.98929 0.85375]	[1.      0.89312 0.9027  0.80313 0.94784 0.80312]	0.11250	0.91138	90	114.49276
0	7	-1.84641	-1.86316	-1.84522	-1.86575	[1.      0.89312 0.9027  0.80313 0.94784 0.80312]	[1.      0.81719 0.81832 0.72719 1.      0.72719]	0.16875	0.81562	105	134.19371
0	8	-1.86316	-1.88461	-1.87257	-1.92862	[1.      0.81719 0.81832 0.72719 1.      0.72719]	[1.      0.70328 0.69176 0.61328 1.      0.61328]	0.25313	0.38278	120	152.27963
0	9	-1.88461	-1.90794	-1.87585	-1.91722	[1.      0.70328 0.69176 0.61328 1.      0.61328]	[0.87344 0.81719 0.81832 0.49938 0.87344 0.49937]	0.25313	0.56394	135	171.60254
0	10	-1.90794	-1.93375	-1.90346	-1.93792	[0.87344 0.81719 0.81832 0.49938 0.87344 0.49937]	[1.      0.93109 0.94488 0.38547 0.74688 0.38547]	0.25313	0.74920	150	192.10064
0	11	-1.93375	-1.87612	-1.90684	-1.99047	[1.      0.93109 0.94488 0.38547 0.74688 0.38547]	[0.87344 1.      0.81832 0.49938 0.62031 0.27156]	0.25313	-0.68916	165	209.61269
0	12	-1.93375	-1.94602	-1.92933	-1.96079	[1.      0.93109 0.94488 0.38547 0.74688 0.38547]	[1.      0.98805 0.96218 0.32852 0.68359 0.32852]	0.12656	0.38999	180	228.36570
