opt_level	iter	fob_c	fob_s	fap_c	fap_s	x_c	x_s	delta	pho	nfev-hf	time-spend
0	1	-1.79569	-1.82154	-1.78785	-1.83558	[1. 1. 1. 1. 1. 1.]	[1.      0.91    0.92762 0.91    1.      0.91   ]	0.20000	0.54150	15	17.38204
0	2	-1.82154	-1.84327	-1.81658	-1.85702	[1.      0.91    0.92762 0.91    1.      0.91   ]	[0.9  0.82 1.   0.82 1.   0.82]	0.20000	0.53730	30	34.37730
0	3	-1.84327	-1.86279	-1.84307	-1.86390	[0.9  0.82 1.   0.82 1.   0.82]	[0.90462 0.73    0.99824 0.73    0.9956  0.73   ]	0.20000	0.93720	45	50.98802
0	4	-1.86279	-1.89004	-1.86207	-1.89128	[0.90462 0.73    0.99824 0.73    0.9956  0.73   ]	[0.80956 0.865   0.84824 0.595   0.8456  0.595  ]	0.30000	0.93262	60	68.90074
0	5	-1.89004	-1.88017	-1.87511	-2.05882	[0.80956 0.865   0.84824 0.595   0.8456  0.595  ]	[1.     1.     1.     0.3925 0.6206 0.7975]	0.45000	-0.05372	75	84.50163
0	6	-1.89004	-1.90677	-1.88996	-1.95022	[0.80956 0.865   0.84824 0.595   0.8456  0.595  ]	[0.92206 0.76375 0.86345 0.50284 0.92054 0.49375]	0.22500	0.27754	90	100.03435
0	7	-1.90677	-1.91787	-1.90491	-1.92741	[0.92206 0.76375 0.86345 0.50284 0.92054 0.49375]	[1.      0.865   0.97595 0.40159 1.      0.3925 ]	0.22500	0.49319	105	116.61414
0	8	-1.91787	-1.93706	-1.95311	-1.98015	[1.      0.865   0.97595 0.40159 1.      0.3925 ]	[1.      0.96625 1.      0.50284 1.      0.29125]	0.22500	0.71005	120	132.60860
0	9	-1.93706	-1.94598	-1.93816	-1.95810	[1.      0.96625 1.      0.50284 1.      0.29125]	[0.8875  1.      1.      0.40159 0.90505 0.19   ]	0.22500	0.44751	135	149.51606
0	10	-1.94598	-1.96070	-1.94723	-2.02475	[0.8875  1.      1.      0.40159 0.90505 0.19   ]	[1.      0.89875 0.89994 0.47127 0.79255 0.1    ]	0.22500	0.18987	150	164.89367
0	11	-1.96070	-1.96853	-1.96140	-1.97085	[1.      0.89875 0.89994 0.47127 0.79255 0.1    ]	[0.96604 0.94938 0.90246 0.44518 0.79618 0.1    ]	0.11250	0.82832	165	188.29779
0	12	-1.96853	-1.97033	-1.96625	-1.97566	[0.96604 0.94938 0.90246 0.44518 0.79618 0.1    ]	[0.97315 1.      0.94949 0.36925 0.79444 0.12889]	0.16875	0.19088	180	205.24511
0	13	-1.97033	-1.97796	-1.96990	-1.97932	[0.97315 1.      0.94949 0.36925 0.79444 0.12889]	[1.      0.98563 0.99168 0.33128 0.75225 0.1    ]	0.08438	0.80977	195	222.64214
0	14	-1.97796	-1.97997	-1.97847	-1.98274	[1.      0.98563 0.99168 0.33128 0.75225 0.1    ]	[1.      0.94972 1.      0.27432 0.73363 0.1    ]	0.12656	0.47265	210	239.89606
0	15	-1.97997	-1.98013	-1.97970	-1.99291	[1.      0.94972 1.      0.27432 0.73363 0.1    ]	[0.93672 1.      1.      0.21737 0.68609 0.1    ]	0.12656	0.01153	225	257.62438
0	16	-1.98013	-1.98067	-1.97404	-1.99706	[0.93672 1.      1.      0.21737 0.68609 0.1    ]	[0.96836 0.98447 0.96836 0.24585 0.71773 0.12   ]	0.06328	0.02368	240	273.99046
0	17	-1.98067	-1.98294	-1.97509	-2.03466	[0.96836 0.98447 0.96836 0.24585 0.71773 0.12   ]	[0.95294 0.97023 0.98418 0.23161 0.73335 0.10576]	0.03164	0.03813	255	290.51499
0	18	-1.98294	-1.98481	-1.98191	-1.98687	[0.95294 0.97023 0.98418 0.23161 0.73335 0.10576]	[0.96085 0.97735 0.97627 0.22449 0.72544 0.1    ]	0.01582	0.37744	270	309.06780
0	19	-1.98481	-1.98541	-1.98470	-1.98730	[0.96085 0.97735 0.97627 0.22449 0.72544 0.1    ]	[0.96876 0.98447 0.9726  0.21737 0.71753 0.1    ]	0.01582	0.22905	285	326.42445
0	20	-1.98541	-1.98618	-1.98556	-1.98623	[0.96876 0.98447 0.9726  0.21737 0.71753 0.1    ]	[0.96657 0.98803 0.97656 0.21381 0.72148 0.1    ]	0.00791	1.14652	300	343.80443
1	1	-1.86317	-1.79096	-1.80844	-2.01354	[0.96876 0.98447 0.9726  0.21737 0.71753 0.1    ]	[0.86876 1.      1.      0.12737 0.81753 0.19   ]	0.20000	-0.35208	15	367.66325
1	2	-1.86317	-1.85682	-1.85947	-1.89873	[0.96876 0.98447 0.9726  0.21737 0.71753 0.1    ]	[0.96001 1.      0.9226  0.23725 0.73919 0.14337]	0.10000	-0.16174	30	390.10061
1	3	-1.86317	-1.86039	-1.85480	-1.92738	[0.96876 0.98447 0.9726  0.21737 0.71753 0.1    ]	[0.95508 1.      0.99471 0.23818 0.73075 0.1093 ]	0.05000	-0.03838	45	412.90234
1	4	-1.86317	-1.86167	-1.88977	-1.91887	[0.96876 0.98447 0.9726  0.21737 0.71753 0.1    ]	[0.95626 0.99572 0.96731 0.21099 0.73003 0.1    ]	0.02500	-0.05176	60	435.51064
1	5	-1.86317	-1.86299	-1.86363	-1.86476	[0.96876 0.98447 0.9726  0.21737 0.71753 0.1    ]	[0.97501 0.98241 0.96635 0.21175 0.71331 0.1    ]	0.01250	-0.16240	75	458.83975
1	6	-1.86317	-1.86116	-1.86381	-1.86657	[0.96876 0.98447 0.9726  0.21737 0.71753 0.1    ]	[0.96563 0.986   0.96948 0.21832 0.71939 0.1    ]	0.00625	-0.72919	90	481.37382
2	1	-1.78430	-1.79459	-1.78638	-1.79715	[0.96563 0.986   0.96948 0.21832 0.71939 0.1    ]	[1.      1.      1.      0.12832 0.81939 0.19   ]	0.20000	0.95563	15	509.26616
2	2	-1.79459	-1.79276	-1.79198	-1.80188	[1.      1.      1.      0.12832 0.81939 0.19   ]	[0.85    1.      0.85    0.26332 0.93213 0.325  ]	0.30000	-0.18496	30	540.78997
2	3	-1.79459	-1.79772	-1.79196	-1.80169	[1.      1.      1.      0.12832 0.81939 0.19   ]	[0.925   1.      0.925   0.179   0.74439 0.2575 ]	0.15000	0.32166	45	569.53775
2	4	-1.79772	-1.80245	-1.79412	-1.80568	[0.925   1.      0.925   0.179   0.74439 0.2575 ]	[1.      1.      1.      0.1115  0.81939 0.325  ]	0.15000	0.40920	60	598.24163
2	5	-1.80245	-1.80318	-1.80038	-1.80316	[1.      1.      1.      0.1115  0.81939 0.325  ]	[1.      1.      0.925   0.1     0.82557 0.3925 ]	0.15000	0.26503	75	625.05649
