opt_level	iter	fob_c	fob_s	fap_c	fap_s	x_c	x_s	delta	pho	nfev-hf	time-spend
0	1	-1.71064	-1.68300	-1.73633	-1.80539	[1. 1. 1. 1. 1. 1.]	[0.99291 1.      0.9     1.      0.9     0.92442]	0.20000	-0.40025	15	183.63128
0	2	-1.71064	-1.71769	-1.71029	-1.71820	[1. 1. 1. 1. 1. 1.]	[1.   1.   0.95 0.95 1.   0.95]	0.10000	0.88984	30	291.54970
0	3	-1.71769	-1.72933	-1.71707	-1.73026	[1.   1.   0.95 0.95 1.   0.95]	[1.      1.      0.92469 0.875   0.93093 0.875  ]	0.15000	0.88224	45	449.79021
0	4	-1.72933	-1.74530	-1.73667	-1.75230	[1.      1.      0.92469 0.875   0.93093 0.875  ]	[1.      1.      1.      0.7625  0.81843 0.7625 ]	0.22500	1.02137	60	635.80876
0	5	-1.74530	-1.76543	-1.74521	-1.77344	[1.      1.      1.      0.7625  0.81843 0.7625 ]	[0.83125 1.      1.      0.59375 0.98718 0.59375]	0.33750	0.71311	75	892.65665
0	6	-1.76543	-1.80132	-1.76899	-1.79704	[0.83125 1.      1.      0.59375 0.98718 0.59375]	[0.6625 1.     1.     0.425  1.     0.425 ]	0.33750	1.27981	90	1156.39952
0	7	-1.80132	-1.80999	-1.80276	-1.82024	[0.6625 1.     1.     0.425  1.     0.425 ]	[0.49375 1.      1.      0.35092 1.      0.25625]	0.33750	0.49583	105	1395.54302
0	8	-1.80999	-1.81669	-1.80900	-1.82621	[0.49375 1.      1.      0.35092 1.      0.25625]	[0.6625  1.      0.83125 0.51967 1.      0.0875 ]	0.33750	0.38964	120	1616.35688
0	9	-1.81669	-1.77724	-1.93272	-2.25712	[0.6625  1.      0.83125 0.51967 1.      0.0875 ]	[0.83125 1.      1.      0.68842 1.      0.     ]	0.33750	-0.12162	135	1904.99112
0	10	-1.81669	-1.81764	-1.81686	-1.82498	[0.6625  1.      0.83125 0.51967 1.      0.0875 ]	[0.68235 1.      0.91562 0.46045 0.91562 0.17188]	0.16875	0.11677	150	2157.82186
0	11	-1.81764	-1.81582	-1.81687	-1.81938	[0.68235 1.      0.91562 0.46045 0.91562 0.17188]	[0.7233  1.      0.87344 0.46693 0.87344 0.12969]	0.08438	-0.72765	165	2408.94824
0	12	-1.81764	-1.81699	-1.81687	-1.81999	[0.68235 1.      0.91562 0.46045 0.91562 0.17188]	[0.68408 1.      0.89453 0.48155 0.89453 0.15078]	0.04219	-0.20850	180	2648.39595
0	13	-1.81764	-1.81675	-1.81640	-1.81792	[0.68235 1.      0.91562 0.46045 0.91562 0.17188]	[0.6718  1.      0.90508 0.471   0.90508 0.16133]	0.02109	-0.58664	195	2881.98294
0	14	-1.81764	-1.81803	-1.81617	-1.81820	[0.68235 1.      0.91562 0.46045 0.91562 0.17188]	[0.67708 1.      0.91035 0.45518 0.91035 0.1666 ]	0.01055	0.19219	210	3111.50382
0	15	-1.81803	-1.81666	-1.81716	-1.81828	[0.67708 1.      0.91035 0.45518 0.91035 0.1666 ]	[0.67554 1.      0.90771 0.45782 0.90935 0.16396]	0.00527	-1.22390	225	3342.10151
0	16	-1.81803	-1.81595	-1.81873	-1.82232	[0.67708 1.      0.91035 0.45518 0.91035 0.1666 ]	[0.67576 1.      0.91167 0.4565  0.90903 0.16792]	0.00264	-0.58051	240	3572.29301
0	17	-1.81803	-1.81755	-1.81730	-1.81999	[0.67708 1.      0.91035 0.45518 0.91035 0.1666 ]	[0.67773 0.9998  0.91101 0.45452 0.90969 0.16594]	0.00132	-0.17901	255	3806.11855
0	18	-1.81803	-1.81746	-1.81691	-1.81954	[0.67708 1.      0.91035 0.45518 0.91035 0.1666 ]	[0.67675 1.      0.91002 0.45551 0.91002 0.16627]	0.00066	-0.21637	270	4040.18266
