opt_level	iter	fob_c	fob_s	fap_c	fap_s	x_c	x_s	delta	pho	nfev-hf	time-spend
0	1	-1.79281	-1.81849	-1.76436	-1.84793	[1. 1. 1. 1. 1. 1.]	[1.      0.96682 0.91545 0.9     1.      0.9    ]	0.20000	0.30724	15	8.17356
0	2	-1.81849	-1.84559	-1.82822	-1.86942	[1.      0.96682 0.91545 0.9     1.      0.9    ]	[1.      0.86682 0.89473 0.8     1.      0.8    ]	0.20000	0.65771	30	16.13553
0	3	-1.84559	-1.86747	-1.84801	-1.89172	[1.      0.86682 0.89473 0.8     1.      0.8    ]	[1.      0.76682 0.99473 0.7     0.9     0.7    ]	0.20000	0.50057	45	23.84254
0	4	-1.86747	-1.88444	-1.86430	-1.88903	[1.      0.76682 0.99473 0.7     0.9     0.7    ]	[0.9     0.66682 0.89473 0.6     1.      0.6    ]	0.20000	0.68611	60	31.32068
0	5	-1.88444	-1.90373	-1.88272	-1.90530	[0.9     0.66682 0.89473 0.6     1.      0.6    ]	[1.      0.76682 0.99473 0.5     0.92141 0.5    ]	0.20000	0.85427	75	38.69680
0	6	-1.90373	-1.89062	-1.90552	-1.92808	[1.      0.76682 0.99473 0.5     0.92141 0.5    ]	[1.      0.91682 1.      0.35    1.      0.35   ]	0.30000	-0.58058	90	46.17143
0	7	-1.90373	-1.91212	-1.90550	-1.91637	[1.      0.76682 0.99473 0.5     0.92141 0.5    ]	[0.97189 0.84182 1.      0.45053 0.99641 0.425  ]	0.15000	0.77153	105	53.66575
0	8	-1.91212	-1.92852	-1.92131	-1.94076	[0.97189 0.84182 1.      0.45053 0.99641 0.425  ]	[0.92945 0.95432 1.      0.56303 1.      0.3125 ]	0.22500	0.84314	120	61.22995
0	9	-1.92852	-1.95504	-1.93014	-1.96203	[0.92945 0.95432 1.      0.56303 1.      0.3125 ]	[0.7607  1.      1.      0.39428 1.      0.14375]	0.33750	0.83154	135	69.47108
0	10	-1.95504	-1.87411	-1.68656	-2.35704	[0.7607  1.      1.      0.39428 1.      0.14375]	[1.      0.74687 1.      0.14116 0.74688 0.39688]	0.50625	-0.12071	150	77.23527
0	11	-1.95504	-1.96574	-1.78069	-2.23207	[0.7607  1.      1.      0.39428 1.      0.14375]	[0.88726 0.87344 0.87344 0.52084 1.      0.01719]	0.25313	0.02370	165	85.40607
0	12	-1.96574	-1.96630	-1.95851	-1.97715	[0.88726 0.87344 0.87344 0.52084 1.      0.01719]	[0.95054 0.93672 0.81016 0.58412 0.93672 0.03346]	0.12656	0.03005	180	92.99211
0	13	-1.96630	-1.93934	-1.96611	-1.97154	[0.95054 0.93672 0.81016 0.58412 0.93672 0.03346]	[0.93544 0.90508 0.77852 0.55248 0.96836 0.00182]	0.06328	-4.96733	195	100.59071
0	14	-1.96630	-1.97014	-1.96623	-1.97262	[0.95054 0.93672 0.81016 0.58412 0.93672 0.03346]	[0.96636 0.95254 0.82598 0.5683  0.9209  0.01764]	0.03164	0.60103	210	109.21635
0	15	-1.97014	-1.96683	-1.96905	-1.97142	[0.96636 0.95254 0.82598 0.5683  0.9209  0.01764]	[0.95054 0.9546  0.82452 0.58412 0.90508 0.00546]	0.03164	-1.39907	225	116.88560
0	16	-1.97014	-1.96863	-1.97038	-1.97313	[0.96636 0.95254 0.82598 0.5683  0.9209  0.01764]	[0.95845 0.94463 0.83389 0.56039 0.92269 0.00973]	0.01582	-0.54943	240	124.51122
0	17	-1.97014	-1.96970	-1.96988	-1.97449	[0.96636 0.95254 0.82598 0.5683  0.9209  0.01764]	[0.9624  0.94858 0.82993 0.56435 0.92485 0.01368]	0.00791	-0.09613	255	132.18984
0	18	-1.97014	-1.97023	-1.97016	-1.97082	[0.96636 0.95254 0.82598 0.5683  0.9209  0.01764]	[0.96666 0.95056 0.824   0.56633 0.92091 0.01735]	0.00396	0.14101	270	139.85160
0	19	-1.97023	-1.97062	-1.97049	-1.97186	[0.96666 0.95056 0.824   0.56633 0.92091 0.01735]	[0.96765 0.94957 0.82499 0.56534 0.91993 0.01834]	0.00198	0.28399	285	147.49222
0	20	-1.97062	-1.96979	-1.97036	-1.97122	[0.96765 0.94957 0.82499 0.56534 0.91993 0.01834]	[0.96864 0.94858 0.82598 0.56633 0.91894 0.01735]	0.00198	-0.96693	300	155.13033
1	1	-1.85207	-1.84398	-1.84942	-1.86267	[0.96765 0.94957 0.82499 0.56534 0.91993 0.01834]	[1.      1.      0.72499 0.66534 0.81993 0.07163]	0.20000	-0.61110	15	166.09655
1	2	-1.85207	-1.82721	-1.85185	-1.85939	[0.96765 0.94957 0.82499 0.56534 0.91993 0.01834]	[1.      0.99957 0.87499 0.51534 0.93541 0.     ]	0.10000	-3.29603	30	176.87390
1	3	-1.85207	-1.84926	-1.85108	-1.86723	[0.96765 0.94957 0.82499 0.56534 0.91993 0.01834]	[0.94265 0.92457 0.84761 0.54034 0.89493 0.02257]	0.05000	-0.17436	45	188.94657
1	4	-1.85207	-1.85241	-1.85209	-1.85594	[0.96765 0.94957 0.82499 0.56534 0.91993 0.01834]	[0.95515 0.96207 0.81249 0.57784 0.90743 0.00584]	0.02500	0.08780	60	199.83787
1	5	-1.85241	-1.85481	-1.85594	-1.86680	[0.95515 0.96207 0.81249 0.57784 0.90743 0.00584]	[0.96123 0.96421 0.80624 0.57159 0.91368 0.01209]	0.01250	0.22116	75	210.96733
1	6	-1.85481	-1.85415	-1.85418	-1.85709	[0.96123 0.96421 0.80624 0.57159 0.91368 0.01209]	[0.95811 0.96733 0.80311 0.57471 0.9168  0.00896]	0.00625	-0.22717	90	221.80330
1	7	-1.85481	-1.85393	-1.85442	-1.85688	[0.96123 0.96421 0.80624 0.57159 0.91368 0.01209]	[0.95967 0.96577 0.80468 0.57315 0.91524 0.01365]	0.00313	-0.36120	105	232.57243
1	8	-1.85481	-1.85509	-1.85452	-1.85607	[0.96123 0.96421 0.80624 0.57159 0.91368 0.01209]	[0.96202 0.96496 0.80546 0.57237 0.91446 0.01185]	0.00156	0.17637	120	243.34668
1	9	-1.85509	-1.85478	-1.85452	-1.85568	[0.96202 0.96496 0.80546 0.57237 0.91446 0.01185]	[0.96241 0.96535 0.80507 0.57198 0.91461 0.01146]	0.00078	-0.26122	135	254.17736
2	1	-1.79525	-1.79907	-1.79198	-1.80067	[0.96202 0.96496 0.80546 0.57237 0.91446 0.01185]	[0.86202 0.93181 0.90546 0.47237 0.98257 0.     ]	0.20000	0.44069	15	274.43381
2	2	-1.79907	-1.79861	-1.79472	-1.81572	[0.86202 0.93181 0.90546 0.47237 0.98257 0.     ]	[0.96202 0.96227 1.      0.37237 0.88257 0.     ]	0.20000	-0.02222	30	297.56968
